Voter,Nickname,Affiliation,Organisation,#1 Top,#2 Top,#3 Top,#1 Jungle,#2 Jungle,#3 Jungle,#1 Mid,#2 Mid,#3 Mid,#1 ADC,#2 ADC,#3 ADC,#1 Support,#2 Support,#3 Support
Aaron Chamberlain,Medic,On-Air Talent,,Alphari,Wunder,Orome,Shad0w,Gilius,Jankos,Larssen,Caps,Humanoid,Rekkles,Patrik,Upset,Kaiser,Vander,LIMIT
Andrew Day,Vedius,On-Air Talent,,Alphari,Orome,Wunder,Shad0w,Selfmade,Gilius,Caps,Larssen,Humanoid,Patrik,Hans sama,Rekkles,Kaiser,Vander,Mikyx
Christy Frierson,ender,On-Air Talent,,Alphari,Wunder,Orome,Gilius,Shad0w,Inspired,Caps,Larssen,Humanoid,Rekkles,Patrik,Hans sama,Kaiser,Vander,Dreams
Daniel Drakos,Drakos,On-Air Talent,,Alphari,Orome,Odoamne,Shad0w,Gilius,Inspired,Caps,Larssen,Humanoid,Rekkles,Carzzy,Crownshot,Kaiser,Vander,Dreams
Eefje Depoortere,jokz,On-Air Talent,,Alphari,Odoamne,Wunder,Gilius,Shad0w,Jankos,Caps,Abbedagge,Larssen,Rekkles,Patrik,Neon,Kaiser,Vander,Dreams
Indiana Black,Froskurinn,On-Air Talent,,Alphari,Odoamne,Wunder,Selfmade,Gilius,Shad0w,Caps,Larssen,Humanoid,Rekkles,Carzzy,Crownshot,Vander,Kaiser,Dreams
Laure Valee,Bulii,On-Air Talent,,Wunder,Orome,Odoamne,Gilius,Jankos,Inspired,Caps,Larssen,Humanoid,Crownshot,Rekkles,Hans sama,Kaiser,Mikyx,Vander
Trevor Henry,Quickshot,On-Air Talent,,Alphari,Orome,Wunder,Shad0w,Gilius,Trick,Caps,Larssen,Humanoid,Patrik,Carzzy,Crownshot,Kaiser,Vander,Mikyx
Simon Bayer,Team Manager,LEC Team Player,Excel Esports,Alphari,Wunder,Odoamne,Inspired,Jankos,Shad0w,Caps,Humanoid,Abbedagge,Carzzy,Perkz,Rekkles,Kaiser,Mikyx,Vander
S04 Players,S04,LEC Team Player,FC Schalke 04,Wunder,Alphari,Finn,Inspired,Jankos,Selfmade,Caps,Larssen,Humanoid,Carzzy,Patrik,Rekkles,Hylissang,Kaiser,Mikyx
Alexander Hugo,LocoEX,LEC Team Player,Fnatic,Orome,Alphari,Wunder,Inspired,Gilius,Shad0w,Caps,Larssen,Abbedagge,Hans sama,Neon,Crownshot,Kaiser,Vander,LIMIT
Jonathan Singh,Taco Storm,LEC Team Player,G2 Esports,Alphari,Orome,Odoamne,Inspired,Shad0w,Selfmade,Larssen,Humanoid,Abbedagge,Hans sama,Carzzy,Patrik,Kaiser,Vander,Dreams
Till Werdermann,,LEC Team Player,MAD Lions,Wunder,Alphari,,Inspired,Jankos,Gilius,Caps,Larssen,Abbedagge,Patrik,Hans sama,Rekkles,Vander,Mikyx,Labrov
Andy Walda,Team Manager,LEC Team Player,Misfits Gaming,Alphari,Orome,Finn,Selfmade,Gilius,Jankos,Larssen,Caps,Humanoid,Hans sama,Carzzy,Crownshot,Kaiser,Mikyx,Labrov
Origen Players,,LEC Team Player,Origen,Wunder,Bwipo,Orome,Inspired,Shad0w,Selfmade,Caps,Humanoid,Larssen,Rekkles,Hans sama,Carzzy,Vander,Kaiser,Mikyx
Tomislav Mihailov,flyy,LEC Team Player,Rogue,Alphari,Wunder,Odoamne,Jankos,Gilius,Selfmade,Caps,Humanoid,Abbedagge,Patrik,Carzzy,Upset,Kaiser,LIMIT,Mikyx
Thomas Huber,Bertho,LEC Team Player,SK Gaming,Wunder,Orome,Alphari,Inspired,Shad0w,Jankos,Caps,Larssen,Humanoid,Rekkles,Patrik,Upset,Kaiser,Vander,Mikyx
Dennis Hennersdorf,,LEC Team Player,Team Vitality,Wunder,Orome,Alphari,Shad0w,Jankos,Selfmade,Caps,Larssen,Humanoid,Patrik,Crownshot,Hans sama,Kaiser,Mikyx,Hylissang
Fabian Broich,Head of Performance,LEC Team Coach,Excel Esports,Alphari,Bwipo,Wunder,Shad0w,Inspired,Selfmade,Caps,Larssen,Humanoid,Hans sama,Carzzy,Rekkles,Kaiser,Mikyx,Hylissang
Dylan Falco,Dylan Falco,LEC Team Coach,FC Schalke 04,Wunder,Alphari,Jenax,Inspired,Jankos,Selfmade,Caps,Larssen,Humanoid,Hans sama,Comp,Patrik,Kaiser,Labrov,LIMIT
Alfonso Aguirre Rodriguez,Mithy,LEC Team Coach,Fnatic,Orome,Odoamne,Jenax,Inspired,Gilius,Shad0w,Caps,Abbedagge,Larssen,Crownshot,Neon,Hans sama,Kaiser,Vander,LIMIT
Fabian Lohmann,G2 GrabbZ,LEC Team Coach,G2 Esports,Orome,Alphari,Odoamne,Gilius,Selfmade,Inspired,Larssen,Humanoid,ZaZee,Hans sama,Patrik,Rekkles,Kaiser,Vander,LIMIT
James MacCormack,Mac,LEC Team Coach,MAD Lions,Wunder,Odoamne,Alphari,Inspired,Gilius,Selfmade,Caps,Larssen,Abbedagge,Patrik,Hans sama,Rekkles,Mikyx,Vander,Dreams
Alejandro Fernández-Valdés,Jandro,LEC Team Coach,Misfits Gaming,Orome,Alphari,Wunder,Shad0w,Gilius,Inspired,Larssen,Caps,Humanoid,Hans sama,Patrik,Rekkles,Kaiser,Vander,Mikyx
Andre Pereira Guilhoto,,LEC Team Coach,Origen,Bwipo,Odoamne,Orome,Shad0w,Inspired,Selfmade,Caps,Humanoid,Larssen,Carzzy,Rekkles,Hans sama,Kaiser,Mikyx,Hylissang
Simon Payne,fredy122,LEC Team Coach,Rogue,Orome,Alphari,Wunder,Shad0w,Gilius,Selfmade,Caps,Humanoid,ZaZee,Carzzy,Rekkles,Crownshot,Kaiser,Labrov,Mikyx
Jesse Le,Jesiz,LEC Team Coach,SK Gaming,Odoamne,Wunder,Alphari,Inspired,Shad0w,Jankos,Caps,Humanoid,Larssen,Patrik,Rekkles,Neon,Hylissang,Mikyx,Tore
Hadrien Forestier,Duke,LEC Team Coach,Team Vitality,Odoamne,Orome,Wunder,Gilius,Shad0w,Inspired,Larssen,Caps,Humanoid,Patrik,Crownshot,Hans sama,Kaiser,Mikyx,LIMIT
Eike Heimpel,@LoLTimbolt,Riot Games,,Alphari,Finn,Wunder,Shad0w,Gilius,Selfmade,Caps,Larssen,Humanoid,Crownshot,Patrik,Upset,Kaiser,Vander,Mikyx
Even Borg Rodahl,Ringreven,Riot Games,,Alphari,Orome,Wunder,Shad0w,Gilius,Inspired,Larssen,Caps,Humanoid,Patrik,Rekkles,Crownshot,Kaiser,Vander,Mikyx
Kevin Bell,,Riot Games,,Alphari,Wunder,Finn,Gilius,Shad0w,Selfmade,Caps,Larssen,Abbedagge,Patrik,Carzzy,Crownshot,Vander,Kaiser,Labrov
Renato Perdigão,,Riot Games,,Alphari,Orome,Wunder,Shad0w,Selfmade,Inspired,Larssen,Caps,Humanoid,Patrik,Rekkles,Hans sama,Kaiser,Vander,Mikyx
Camille Cathala,Mistilena,3rd Party Media,Breakflip,Wunder,Alphari,Odoamne,Gilius,Inspired,Shad0w,Caps,Larssen,Humanoid,Hans sama,Crownshot,Rekkles,Kaiser,Vander,Dreams
Danes Loher,,3rd Party Media,Danes Loher,Alphari,Orome,Wunder,Shad0w,Inspired,Gilius,Caps,Humanoid,Larssen,Carzzy,Crownshot,Rekkles,Kaiser,Vander,Mikyx
Xing Li,,3rd Party Media,Dot Esports,Wunder,Alphari,Finn,Shad0w,Inspired,Jankos,Larssen,Caps,Humanoid,Carzzy,Crownshot,Hans sama,Kaiser,Vander,Mikyx
Jacob Wolf,,3rd Party Media,ESPN,Alphari,Finn,Odoamne,Shad0w,Inspired,Jankos,Caps,Larssen,Humanoid,Carzzy,Crownshot,Rekkles,Vander,Kaiser,Mikyx
Pablo Suárez Fernández,Bloop,3rd Party Media,Esportmaniacos,Alphari,Orome,Wunder,Shad0w,Gilius,Selfmade,Larssen,Caps,Humanoid,Rekkles,Patrik,Crownshot,Kaiser,Vander,Mikyx
Adel Chouadria,,3rd Party Media,Freelance,Odoamne,Orome,Wunder,Gilius,Inspired,Shad0w,Larssen,Caps,Humanoid,Carzzy,Patrik,Rekkles,Kaiser,Vander,Mikyx
Yinsu Collins,,3rd Party Media,Freelance,Orome,Wunder,Alphari,Shad0w,Selfmade,Gilius,Larssen,Caps,Humanoid,Carzzy,Hans sama,Patrik,Kaiser,Vander,Mikyx
Tom Matthiesen,Matthieist,3rd Party Media,Freelance/independent,Alphari,Orome,Wunder,Shad0w,Gilius,Inspired,Larssen,Caps,Humanoid,Crownshot,Hans sama,Rekkles,Kaiser,Vander,Mikyx
Lara Lunardi,@LaraLunardi,3rd Party Media,Inven Global,Wunder,Orome,Odoamne,Shad0w,Inspired,Jankos,Larssen,Caps,Humanoid,Carzzy,Crownshot,Neon,Vander,Mikyx,LIMIT
Leaguepedia LEC Editors,,3rd Party Media,Leaguepedia,Alphari,Orome,Wunder,Gilius,Shad0w,Inspired,Larssen,Caps,Humanoid,Patrik,Crownshot,Hans sama,Kaiser,Vander,Mikyx
Valentin Dienes,,Broadcast Partner,Esport1.hu,Orome,Finn,Alphari,Shad0w,Gilius,Inspired,Larssen,Caps,Abbedagge,Hans sama,Rekkles,Patrik,Kaiser,LIMIT,Vander
João Cício,,Broadcast Partner,Inygon,Finn,Wunder,Orome,Inspired,Gilius,Jankos,Larssen,Caps,Abbedagge,Hans sama,Comp,Perkz,Mikyx,Kaiser,Labrov
Eduardo Yuguero Albasán,,Broadcast Partner,LVP España,Orome,Finn,Wunder,Inspired,Shad0w,Jankos,Caps,Larssen,Humanoid,Carzzy,Hans sama,Neon,Kaiser,Vander,Labrov
Culié Fabien,Chips,Broadcast Partner,O'Gaming,Wunder,Orome,Odoamne,Inspired,Gilius,Shad0w,Caps,Humanoid,Larssen,Crownshot,Hans sama,Patrik,Kaiser,LIMIT,Vander
Pier Luigi Parnofiello,,Broadcast Partner,PG Esports,Orome,Wunder,Odoamne,Shad0w,Trick,Jankos,Nemesis,Humanoid,Nukeduck,Rekkles,Hans sama,Neon,Mikyx,Hylissang,Jactroll
Bartosz Brykała,Lead Producer,Broadcast Partner,Polsat Games,Orome,Alphari,Wunder,Inspired,Shad0w,Gilius,Larssen,Humanoid,Caps,Hans sama,Carzzy,Crownshot,Kaiser,Vander,Dreams
